paciente_endereco_coIbgeMunicipio
1
1
1
1
1
1
1
1
1
1
1
1
1
1
2
1
2
1
5
10
1
1
2
2
1
1
1
1
1
1
1
1
1
1
1
1
1
2
1
3
3
1
25
4
9
8
70
13
16
32
3
8
1
10
40
2
2
13
6
6
78
1
3
80
1
8
9
2
6
11
28
5
1
4
3
3
3
1
23
9
54
55
4
5
1
40
12
3
1
4
2
2
3
44
1
4
30
24
38
16
6
1
1
15
2
56
3
3
1
2
19
1
23
1
26
5
46
5
1
4
28
1
44
1
67
20
6
6
28
6
1
2
8
11
19
45
16
1
43
27
2
1
1
5
2
45
7
2
12
7
10
2
2
4
24
16
13
7
18
6
1
4
1
3
58
9
42
3
7
2
8
3
25
4
11
1
1
2
1
1
1
3
4
1
2
3
11
4
4
1
1
1
2
3
1
1
6
2
2
1
3
2
3
3
1
6
1
1
2
1
1
3
1
1
1
3
2
2
1
1
1
1
2
1
1
1
5
1
13
1
1
1
1
1
2
2
10
1
1
1
4
1
1
1
1
1
1
1
2
1
1
3
3
1
1
1
1
2
3
1
1
2
1
2
1
1
1
21
2
6
1
1
1
1
2
2
2
9
3
1
5
4
1
3
1
5
1
15
2
1
1
4
2
2
8
2
3
9
3
1
13
1
1
1
2
4
1
2
13
2
1
3
1
1
14
3
4
2
1
1
2
1
30
3
4
2
2
7
4
2
2
1
2
4
65
2
7
1
1
1
2
1
1
34
33
17
44
29
23
33
51
46
28
24
27
35
25
64
9
378
370
66
12
50
63
13
44
122
24
11
47
165
28
22
6
20
15
2
26
10
12
30
6
20
15
12
21
24
9
13
32
8
65
80
151
32
39
20
11
17
288
41
299
49
39
38
56
32
43
56
456
239
7
3
51
25
161
231
19
33
73
37
23
21
28
23
162
18
140
12
5
61
4
55
14
1243
31
7
14
18
69
34
11
25
17
4
14
90
10
7
72
47
43
39
18
18
18
42
42
495
8
240
16
17
10
172
2
20
78
45
20
10
20
2
26
487
32
58
23
124
1
217
10
13
18
37
90
101
27
27
53
11
10
250
28
14
40
31
18
40
17
15
37
294
12
23
36
225
47
91
48
12
13
4
44
9
57
25
6
4
27
21
30
55
17
268
12
3
17
15
23
1522
26
29
2
56
49
3
142
22
5
119
367
150
14
71
97
21
23
279
18
11
25
22
4
27
85
6
37
31
21
25
9
20
127
22
15
14
10
72
5
45
8
41
193
81
11
24
31
39
70
10
116
2
19
161
152
15
8
44
93
33
46
15
319
15
492
25
15
35
14
28
20
15
262
38
14
67
99
64
122
5
7
51
490
33
63
10
5
20
3
6
17
23
182
38
44
43
14
80
19
29
39
5
22
42
53
22
14
36
91
111
58
49
21
24
85
40
21
57
19
16
22
45
49
41
16
57
73
14
31
39
11
17
9
20
51
17
21
115
25
7
57
21
36
174
15
24
55
39
34
22
20
27
28
115
4
115
13
10
16
17
5
22
72
30
33
53
14
36
4
31
15
111
16
22
54
234
97
58
30
69
43
581
59
14
14
31
9
181
49
332
38
9
28
15
34
17
45
5
8
22
25
23
4
6
13
1
4
4
2
5
8
8
4
1
14
1
14
1
2
1
1
4
1
1
4
