,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases
Guamiranga,0.0,0.0,0.0,593.0,1029.0,1061.0,435.0,450.0,693.0,939.0,734.0,1283.0,1866.0,810.0,1135.0,1834.0,1704.0,2704.0,2443.0,3878.0,4019.0
Guapirama,0.0,0.0,0.0,265.0,295.0,119.0,243.0,366.0,125.0,522.0,720.0,752.0,1103.0,645.0,832.0,1278.0,1004.0,1284.0,1134.0,1656.0,1667.0
Guaporema,0.0,0.0,0.0,323.0,411.0,91.0,205.0,223.0,120.0,480.0,493.0,129.0,798.0,402.0,138.0,138.0,742.0,466.0,638.0,657.0,826.0
Guaraci,0.0,0.0,0.0,347.0,949.0,212.0,880.0,238.0,314.0,1621.0,1742.0,2238.0,2397.0,2117.0,1339.0,2354.0,1921.0,2929.0,1968.0,1983.0,2504.0
Guaraniaçu,0.0,0.0,0.0,1348.0,1775.0,1903.0,2051.0,1886.0,1052.0,3470.0,3034.0,3196.0,4738.0,3540.0,3728.0,4757.0,5045.0,5445.0,5881.0,5160.0,6425.0
Guarapuava,0.0,0.0,6184.0,45747.0,48786.0,51312.0,54094.0,48381.0,51515.0,55312.0,69114.0,62838.0,78337.0,70099.0,84869.0,88005.0,91511.0,95233.0,101131.0,92820.0,99751.0
Guaraqueçaba,0.0,0.0,0.0,765.0,1005.0,1084.0,1125.0,1193.0,1323.0,1352.0,1375.0,1422.0,2262.0,1731.0,2336.0,2366.0,3030.0,3119.0,3217.0,2758.0,4051.0
Guaratuba,0.0,0.0,0.0,7886.0,14590.0,13092.0,13827.0,12367.0,19436.0,17933.0,19460.0,20613.0,25420.0,22545.0,26738.0,27124.0,27463.0,27813.0,24069.0,24526.0,25105.0
Guaíra,0.0,0.0,0.0,3373.0,7136.0,6269.0,7861.0,8114.0,8592.0,9659.0,10949.0,11805.0,14747.0,11034.0,13740.0,16557.0,17006.0,17813.0,15886.0,16422.0,16966.0
Honório Serpa,0.0,0.0,0.0,785.0,604.0,222.0,694.0,516.0,305.0,1607.0,1406.0,2259.0,2761.0,1617.0,2493.0,2557.0,2178.0,2212.0,1337.0,1377.0,2337.0
Ibaiti,0.0,0.0,0.0,4292.0,5471.0,4781.0,4980.0,5176.0,5519.0,7227.0,8022.0,8932.0,11887.0,9542.0,14156.0,14884.0,13244.0,15870.0,13963.0,14629.0,15741.0
Ibema,0.0,0.0,0.0,470.0,507.0,133.0,297.0,470.0,335.0,751.0,838.0,896.0,1456.0,992.0,1007.0,1331.0,904.0,1608.0,1687.0,1762.0,1473.0
Ibiporã,0.0,0.0,0.0,15225.0,16108.0,17252.0,18264.0,16096.0,20318.0,21152.0,21915.0,22834.0,27655.0,28502.0,29119.0,30241.0,31498.0,32235.0,28120.0,34510.0,36035.0
Icaraíma,0.0,0.0,0.0,878.0,1288.0,1423.0,1904.0,1181.0,2187.0,2418.0,3117.0,2768.0,4019.0,2913.0,2345.0,2358.0,2995.0,3647.0,3685.0,3730.0,3778.0
Iguaraçu,0.0,0.0,0.0,462.0,487.0,637.0,681.0,582.0,319.0,718.0,1296.0,1293.0,2019.0,1520.0,982.0,1368.0,1861.0,2380.0,2010.0,1225.0,2075.0
Iguatu,0.0,0.0,0.0,191.0,291.0,297.0,200.0,0.0,111.0,352.0,386.0,428.0,908.0,460.0,323.0,166.0,868.0,537.0,555.0,562.0,758.0
Imbaú,0.0,0.0,0.0,2980.0,2314.0,1611.0,3361.0,3482.0,0.0,6368.0,6505.0,3761.0,6717.0,5870.0,6080.0,7557.0,8188.0,7514.0,8113.0,8666.0,9073.0
Imbituva,0.0,0.0,0.0,5766.0,10628.0,7973.0,8235.0,6798.0,5247.0,11069.0,9678.0,12319.0,15149.0,8876.0,13607.0,16291.0,9543.0,17255.0,15385.0,13452.0,14889.0
Inajá,0.0,0.0,0.0,269.0,182.0,380.0,287.0,195.0,0.0,216.0,347.0,125.0,778.0,399.0,0.0,420.0,429.0,449.0,479.0,868.0,826.0
Indianópolis,0.0,0.0,0.0,615.0,948.0,0.0,1345.0,340.0,694.0,1403.0,1782.0,1440.0,2224.0,1171.0,2217.0,3191.0,3486.0,3617.0,3876.0,3400.0,3535.0
Inácio Martins,0.0,0.0,0.0,1201.0,2062.0,1439.0,1487.0,1515.0,790.0,2895.0,2596.0,2269.0,2885.0,1957.0,3013.0,3613.0,2607.0,3149.0,3242.0,3434.0,3552.0
Ipiranga,0.0,0.0,0.0,1498.0,1326.0,1172.0,1655.0,1480.0,827.0,2848.0,2584.0,3257.0,3386.0,2889.0,3590.0,4626.0,4424.0,4875.0,4404.0,5598.0,5828.0
Iporã,0.0,0.0,0.0,770.0,1765.0,1348.0,1491.0,1628.0,1753.0,2842.0,3232.0,3535.0,3765.0,3260.0,4036.0,5047.0,4576.0,3963.0,5020.0,5454.0,6126.0
Iracema do Oeste,0.0,0.0,0.0,225.0,300.0,0.0,150.0,76.0,0.0,414.0,365.0,262.0,660.0,397.0,268.0,402.0,670.0,134.0,670.0,670.0,692.0
Irati,0.0,0.0,0.0,16757.0,20366.0,14828.0,15095.0,15365.0,22514.0,20008.0,24302.0,21318.0,25587.0,18693.0,26870.0,27601.0,28729.0,30370.0,28038.0,31015.0,34186.0
Iretama,0.0,0.0,0.0,918.0,1688.0,300.0,1617.0,1030.0,1086.0,1922.0,2101.0,2254.0,3345.0,2521.0,2088.0,3178.0,3214.0,2706.0,2790.0,2287.0,3033.0
Itaguajé,0.0,0.0,0.0,242.0,487.0,373.0,378.0,129.0,145.0,488.0,1088.0,776.0,849.0,864.0,0.0,666.0,934.0,702.0,941.0,1677.0,1221.0
Itaipulândia,0.0,0.0,0.0,1876.0,4103.0,3687.0,4726.0,3237.0,2512.0,5147.0,4469.0,4696.0,6894.0,4081.0,5244.0,5411.0,5499.0,6660.0,6707.0,6825.0,5808.0
Itambaracá,0.0,0.0,0.0,735.0,1018.0,886.0,692.0,738.0,279.0,2032.0,1525.0,2381.0,2963.0,1307.0,1825.0,1915.0,1961.0,1978.0,2535.0,2108.0,2721.0
Itambé,0.0,0.0,399.0,1629.0,2542.0,2604.0,2204.0,1783.0,908.0,2317.0,1943.0,1534.0,3763.0,2202.0,1788.0,1845.0,3153.0,3885.0,3279.0,3293.0,4008.0
Itapejara d'Oeste,0.0,0.0,0.0,2298.0,2966.0,627.0,3370.0,712.0,2617.0,5610.0,5038.0,7526.0,8326.0,5091.0,8070.0,5582.0,8524.0,10094.0,8752.0,8952.0,7718.0
Itaperuçu,0.0,0.0,1641.0,8243.0,12056.0,8839.0,9033.0,5534.0,1943.0,10179.0,13684.0,15054.0,19264.0,17274.0,20686.0,15066.0,18661.0,22115.0,19382.0,23074.0,23644.0
Itaúna do Sul,0.0,0.0,0.0,236.0,426.0,193.0,410.0,210.0,214.0,225.0,348.0,232.0,832.0,365.0,383.0,402.0,707.0,431.0,583.0,900.0,839.0
Ivaiporã,0.0,0.0,0.0,7501.0,7666.0,7900.0,8170.0,8513.0,7434.0,9711.0,8709.0,11093.0,13564.0,12279.0,14980.0,15238.0,15479.0,15698.0,16056.0,14397.0,15201.0
Ivatuba,0.0,0.0,0.0,300.0,460.0,623.0,624.0,0.0,178.0,742.0,977.0,394.0,1433.0,1037.0,638.0,643.0,1520.0,1321.0,1105.0,1111.0,1123.0
Ivaté,0.0,0.0,0.0,458.0,811.0,836.0,337.0,701.0,532.0,897.0,964.0,1283.0,1416.0,1242.0,1031.0,1055.0,1340.0,834.0,886.0,1600.0,2020.0
Ivaí,0.0,0.0,0.0,1181.0,1801.0,914.0,1249.0,1263.0,992.0,2112.0,1819.0,1895.0,2822.0,1657.0,2533.0,2161.0,3076.0,2234.0,2739.0,2992.0,3619.0
Jaboti,0.0,0.0,0.0,265.0,518.0,0.0,432.0,331.0,126.0,788.0,572.0,459.0,1151.0,695.0,193.0,1026.0,854.0,896.0,1428.0,1486.0,1393.0
Jacarezinho,0.0,0.0,0.0,10587.0,13144.0,9897.0,10483.0,13328.0,12271.0,16284.0,17748.0,22532.0,24087.0,14651.0,27129.0,28213.0,25137.0,30253.0,26847.0,28005.0,29180.0
Jaguapitã,0.0,0.0,0.0,3462.0,4369.0,3895.0,2479.0,2537.0,2701.0,5927.0,5455.0,5991.0,9118.0,8157.0,10034.0,9190.0,9741.0,11757.0,10166.0,8590.0,10423.0
Jaguariaíva,0.0,0.0,0.0,6198.0,7912.0,7035.0,5870.0,9222.0,9824.0,10474.0,11332.0,12071.0,15271.0,13891.0,17001.0,17865.0,18498.0,19040.0,16894.0,17557.0,18474.0
Jandaia do Sul,0.0,20.0,962.0,4237.0,6879.0,7592.0,6802.0,8588.0,8838.0,10965.0,11880.0,12443.0,13283.0,11736.0,14012.0,14285.0,14539.0,14850.0,13070.0,13560.0,16218.0
Janiópolis,0.0,0.0,0.0,963.0,1020.0,430.0,966.0,785.0,549.0,1440.0,1819.0,922.0,2204.0,1585.0,2007.0,2059.0,2070.0,1733.0,2152.0,1831.0,1896.0
Japira,0.0,0.0,0.0,712.0,790.0,216.0,876.0,438.0,670.0,1418.0,739.0,1280.0,1924.0,1493.0,1599.0,2403.0,2189.0,1948.0,1993.0,2489.0,2182.0
Japurá,0.0,0.0,0.0,1305.0,1010.0,694.0,1406.0,1421.0,375.0,2375.0,2099.0,2192.0,3118.0,1341.0,1347.0,904.0,2749.0,1857.0,2371.0,2539.0,3731.0
Jardim Alegre,0.0,0.0,0.0,772.0,1080.0,864.0,1254.0,1361.0,1529.0,2524.0,2268.0,2936.0,3642.0,2798.0,2856.0,4214.0,4302.0,4386.0,3856.0,3328.0,4192.0
Jardim Olinda,0.0,0.0,0.0,44.0,66.0,0.0,44.0,0.0,0.0,52.0,66.0,34.0,136.0,34.0,34.0,73.0,78.0,78.0,79.0,177.0,196.0
Jataizinho,0.0,0.0,0.0,4988.0,5308.0,3776.0,3861.0,2025.0,6414.0,6841.0,7332.0,6385.0,9283.0,8146.0,8275.0,9877.0,10134.0,10207.0,8829.0,7459.0,9156.0
Jesuítas,0.0,0.0,0.0,1148.0,2047.0,866.0,1798.0,1818.0,2332.0,2417.0,2484.0,3074.0,3789.0,1688.0,3495.0,2382.0,4242.0,2457.0,3194.0,3272.0,4048.0
Joaquim Távora,0.0,0.0,0.0,900.0,1209.0,1271.0,1301.0,1000.0,1449.0,2112.0,2882.0,3036.0,3898.0,3489.0,4175.0,6632.0,6145.0,6343.0,6737.0,7495.0,8382.0
Jundiaí do Sul,0.0,0.0,0.0,244.0,417.0,97.0,296.0,106.0,349.0,491.0,776.0,277.0,1019.0,584.0,441.0,754.0,928.0,630.0,645.0,836.0,870.0
Juranda,0.0,0.0,0.0,725.0,1122.0,191.0,632.0,222.0,256.0,1868.0,1127.0,387.0,2919.0,2195.0,1371.0,2349.0,2899.0,2547.0,2689.0,3482.0,3085.0
Jussara,0.0,0.0,0.0,1117.0,1786.0,289.0,1207.0,975.0,1042.0,1505.0,2744.0,2424.0,2524.0,1752.0,1836.0,1866.0,2850.0,1954.0,2059.0,3197.0,3267.0
Kaloré,0.0,0.0,0.0,1421.0,1125.0,2168.0,3114.0,1078.0,601.0,2428.0,3812.0,2646.0,4834.0,2115.0,3669.0,3815.0,4681.0,4000.0,4909.0,4190.0,2627.0
Lapa,0.0,0.0,0.0,14413.0,12922.0,11093.0,13540.0,16002.0,13879.0,14008.0,16678.0,14805.0,17725.0,12833.0,15958.0,19646.0,20141.0,20258.0,17501.0,20828.0,17986.0
Laranjal,0.0,0.0,0.0,194.0,156.0,62.0,126.0,63.0,64.0,385.0,260.0,236.0,455.0,387.0,404.0,509.0,523.0,667.0,839.0,764.0,724.0
Laranjeiras do Sul,0.0,0.0,0.0,3246.0,4448.0,4222.0,4402.0,4619.0,5806.0,6077.0,6653.0,8006.0,8389.0,7457.0,7961.0,9995.0,8781.0,10614.0,9383.0,9794.0,10231.0
Leópolis,0.0,0.0,0.0,1028.0,651.0,1010.0,789.0,267.0,552.0,836.0,1136.0,290.0,1757.0,1189.0,1560.0,1619.0,1315.0,1337.0,1370.0,2116.0,1798.0
Lidianópolis,0.0,0.0,0.0,384.0,317.0,238.0,498.0,400.0,0.0,868.0,735.0,599.0,1484.0,1095.0,683.0,1475.0,1264.0,1830.0,1356.0,1431.0,1836.0
Lindoeste,0.0,0.0,0.0,864.0,1094.0,669.0,930.0,752.0,252.0,1370.0,1438.0,1235.0,2240.0,1938.0,1299.0,1962.0,1635.0,2308.0,1656.0,2019.0,1745.0
Loanda,0.0,0.0,0.0,3393.0,5868.0,4917.0,7600.0,2598.0,4160.0,8582.0,8802.0,8971.0,10597.0,7700.0,9397.0,11046.0,11185.0,11340.0,9916.0,11968.0,10538.0
Lobato,0.0,0.0,0.0,409.0,759.0,877.0,631.0,478.0,283.0,1728.0,903.0,943.0,2045.0,1048.0,730.0,2255.0,1904.0,1559.0,1980.0,1611.0,2073.0
Londrina,0.0,0.0,31164.0,192461.0,239132.0,216683.0,225382.0,272353.0,281946.0,294444.0,305445.0,313517.0,322076.0,329368.0,335079.0,341300.0,346904.0,353239.0,361393.0,369420.0,378610.0
Luiziana,0.0,0.0,0.0,762.0,520.0,578.0,461.0,483.0,508.0,1217.0,906.0,813.0,2138.0,951.0,1305.0,994.0,2005.0,1722.0,1450.0,2329.0,2059.0
Lunardelli,0.0,0.0,0.0,379.0,314.0,120.0,365.0,124.0,311.0,648.0,941.0,1176.0,1401.0,1223.0,1066.0,1100.0,1126.0,1396.0,1216.0,1296.0,1330.0
Lupionópolis,0.0,0.0,0.0,521.0,580.0,128.0,555.0,302.0,177.0,1008.0,679.0,949.0,1478.0,494.0,750.0,1014.0,772.0,1302.0,1315.0,1332.0,543.0
Mallet,0.0,0.0,0.0,904.0,1266.0,548.0,1167.0,892.0,612.0,1874.0,1604.0,1330.0,2440.0,1793.0,1842.0,2631.0,2287.0,1945.0,2413.0,2618.0,2587.0
Mamborê,0.0,0.0,0.0,1654.0,2617.0,2311.0,1910.0,1476.0,0.0,3115.0,2125.0,2791.0,4028.0,2936.0,1832.0,4403.0,4486.0,3921.0,4036.0,4158.0,4460.0
Mandaguari,0.0,0.0,0.0,6401.0,8263.0,8920.0,7878.0,8277.0,13308.0,12842.0,14288.0,17926.0,19870.0,17825.0,18133.0,21844.0,22435.0,23008.0,23528.0,20570.0,24803.0
Mandaguaçu,0.0,0.0,0.0,6504.0,8080.0,8441.0,7263.0,6012.0,9511.0,8293.0,10692.0,11487.0,14418.0,8660.0,13772.0,14310.0,17048.0,17326.0,15197.0,13151.0,16685.0
Mandirituba,0.0,0.0,0.0,6193.0,9110.0,6783.0,8485.0,7318.0,4792.0,8765.0,9678.0,10479.0,15992.0,14342.0,14700.0,15071.0,15610.0,15875.0,16202.0,13741.0,16957.0
Manfrinópolis,0.0,0.0,0.0,248.0,265.0,180.0,182.0,91.0,93.0,281.0,305.0,341.0,925.0,405.0,431.0,592.0,751.0,611.0,937.0,971.0,674.0
Mangueirinha,0.0,0.0,0.0,3148.0,4877.0,4151.0,4245.0,4404.0,5448.0,4672.0,5954.0,7318.0,7715.0,4527.0,5848.0,8535.0,7474.0,8801.0,7637.0,7824.0,6818.0
Manoel Ribas,0.0,0.0,0.0,1994.0,2746.0,3624.0,3125.0,3182.0,1989.0,3449.0,3575.0,3743.0,5939.0,5496.0,6828.0,6088.0,5182.0,6325.0,6469.0,5507.0,6831.0
Marechal Cândido Rondon,0.0,0.0,0.0,10354.0,15980.0,16409.0,11256.0,11700.0,15607.0,20191.0,21456.0,22449.0,27478.0,24425.0,24991.0,29677.0,30071.0,30490.0,26580.0,27265.0,28285.0
Maria Helena,0.0,0.0,0.0,673.0,1170.0,990.0,539.0,551.0,838.0,1138.0,1458.0,1502.0,2242.0,1321.0,1381.0,1779.0,2511.0,2528.0,2235.0,1908.0,2038.0
Marialva,0.0,0.0,0.0,7173.0,11262.0,11963.0,10447.0,10885.0,13862.0,14873.0,16311.0,17366.0,21652.0,16188.0,19953.0,24030.0,24706.0,25547.0,22694.0,23979.0,25237.0
Marilena,0.0,0.0,0.0,310.0,516.0,193.0,652.0,223.0,729.0,995.0,770.0,793.0,1889.0,818.0,832.0,1704.0,1448.0,877.0,1807.0,1887.0,1400.0
Mariluz,0.0,0.0,0.0,1716.0,2301.0,1431.0,2454.0,2564.0,2369.0,3155.0,3877.0,3324.0,4078.0,2767.0,3567.0,2995.0,3857.0,4834.0,5122.0,4415.0,5870.0
Marilândia do Sul,0.0,0.0,0.0,899.0,1539.0,1266.0,1300.0,1306.0,670.0,2576.0,2317.0,1997.0,3006.0,2376.0,3200.0,3853.0,3993.0,3702.0,3963.0,4214.0,5610.0
Maringá,0.0,0.0,25381.0,159914.0,192792.0,169798.0,204831.0,182101.0,221170.0,230880.0,248319.0,262252.0,274884.0,283742.0,290730.0,296076.0,301143.0,306350.0,312359.0,318139.0,327043.0
Maripá,0.0,0.0,0.0,522.0,966.0,660.0,751.0,549.0,894.0,1530.0,983.0,1105.0,2769.0,1244.0,1690.0,2572.0,1727.0,2631.0,2234.0,2282.0,2832.0
Mariópolis,0.0,0.0,0.0,477.0,996.0,342.0,701.0,0.0,637.0,1047.0,1228.0,1661.0,2080.0,1863.0,1555.0,2133.0,2687.0,936.0,2460.0,3535.0,2572.0
Marmeleiro,0.0,0.0,0.0,3177.0,4032.0,3263.0,4177.0,2541.0,2834.0,6056.0,5464.0,5748.0,8504.0,5064.0,6753.0,8547.0,10392.0,10666.0,9338.0,9578.0,10037.0
Marquinho,0.0,0.0,0.0,169.0,126.0,68.0,284.0,0.0,83.0,508.0,170.0,259.0,554.0,493.0,215.0,615.0,835.0,729.0,772.0,818.0,896.0
Marumbi,0.0,0.0,302.0,531.0,996.0,405.0,624.0,628.0,446.0,694.0,735.0,1041.0,1927.0,1430.0,1199.0,1297.0,1708.0,1715.0,1754.0,1850.0,2421.0
Matelândia,0.0,0.0,0.0,7882.0,6691.0,6829.0,5592.0,5700.0,7412.0,9171.0,9447.0,9674.0,11519.0,10066.0,10207.0,12330.0,12889.0,13593.0,12387.0,13260.0,14179.0
Matinhos,0.0,0.0,0.0,4654.0,8726.0,8071.0,7092.0,7404.0,11099.0,10380.0,10915.0,11261.0,13588.0,12063.0,14445.0,14848.0,15195.0,15727.0,14141.0,14713.0,12852.0
Mato Rico,0.0,0.0,0.0,88.0,120.0,0.0,58.0,90.0,31.0,109.0,121.0,86.0,176.0,134.0,45.0,165.0,359.0,309.0,254.0,398.0,384.0
Mauá da Serra,0.0,0.0,0.0,1544.0,1594.0,807.0,2148.0,882.0,443.0,2798.0,2505.0,2614.0,3840.0,2244.0,4056.0,2971.0,2997.0,3616.0,3676.0,3821.0,3987.0
Medianeira,0.0,0.0,0.0,17617.0,22088.0,23365.0,28393.0,29007.0,21187.0,26078.0,26699.0,31727.0,32633.0,23714.0,24043.0,29649.0,35293.0,31051.0,32206.0,33676.0,35785.0
Mercedes,0.0,0.0,0.0,248.0,266.0,274.0,295.0,0.0,381.0,1056.0,705.0,767.0,1587.0,807.0,549.0,844.0,1142.0,572.0,1470.0,1794.0,1509.0
Mirador,0.0,0.0,0.0,146.0,116.0,89.0,165.0,0.0,150.0,162.0,253.0,258.0,525.0,176.0,270.0,389.0,495.0,404.0,516.0,658.0,573.0
Miraselva,0.0,0.0,0.0,261.0,277.0,158.0,265.0,91.0,0.0,437.0,222.0,345.0,595.0,483.0,134.0,685.0,569.0,448.0,621.0,334.0,940.0
Missal,0.0,0.0,0.0,1613.0,2923.0,3250.0,2669.0,682.0,1429.0,3763.0,3902.0,4869.0,5950.0,3441.0,4338.0,2708.0,5705.0,4859.0,6864.0,5911.0,4976.0
Moreira Sales,0.0,0.0,0.0,916.0,2301.0,1080.0,1480.0,749.0,2284.0,2328.0,1997.0,2410.0,2860.0,2530.0,2593.0,2618.0,3094.0,2217.0,2239.0,2753.0,3415.0
Morretes,0.0,0.0,0.0,3445.0,7027.0,5974.0,6065.0,6156.0,5073.0,7841.0,6825.0,8516.0,10246.0,7461.0,9129.0,9317.0,11072.0,11326.0,9984.0,10393.0,10990.0
Munhoz de Melo,0.0,0.0,0.0,339.0,580.0,588.0,379.0,290.0,0.0,1004.0,924.0,772.0,2027.0,1189.0,0.0,930.0,1575.0,957.0,1926.0,1939.0,1630.0
Nossa Senhora das Graças,0.0,0.0,0.0,364.0,664.0,303.0,344.0,394.0,462.0,788.0,1145.0,885.0,1922.0,1339.0,1028.0,1074.0,1094.0,2595.0,1484.0,1898.0,1946.0
Nova Aliança do Ivaí,0.0,0.0,0.0,60.0,66.0,34.0,164.0,41.0,46.0,46.0,106.0,232.0,303.0,185.0,189.0,128.0,192.0,197.0,346.0,603.0,386.0
Nova América da Colina,0.0,0.0,0.0,231.0,246.0,86.0,397.0,0.0,0.0,479.0,388.0,736.0,912.0,819.0,490.0,507.0,1969.0,918.0,1294.0,1675.0,1752.0
Nova Aurora,0.0,0.0,0.0,3617.0,3199.0,4011.0,2773.0,2175.0,1534.0,4020.0,5158.0,3544.0,6360.0,3679.0,4663.0,5652.0,4726.0,6668.0,5838.0,5957.0,6161.0
Nova Cantu,0.0,0.0,0.0,619.0,720.0,384.0,774.0,591.0,212.0,1145.0,969.0,1010.0,1558.0,1074.0,1355.0,1373.0,1658.0,1668.0,1470.0,1650.0,2050.0
Nova Esperança,0.0,0.0,0.0,5714.0,5122.0,5440.0,4675.0,4765.0,5043.0,6446.0,6925.0,7262.0,8940.0,6640.0,8187.0,10070.0,10358.0,10543.0,9226.0,9497.0,10060.0
Nova Esperança do Sudoeste,0.0,0.0,0.0,678.0,1174.0,488.0,1045.0,276.0,912.0,1014.0,1533.0,1210.0,3016.0,1337.0,937.0,2457.0,2543.0,1538.0,2598.0,3195.0,2677.0
Nova Fátima,0.0,0.0,0.0,556.0,597.0,533.0,552.0,298.0,675.0,748.0,1203.0,1456.0,1498.0,1107.0,1681.0,1059.0,1402.0,853.0,1481.0,1874.0,2004.0
Nova Laranjeiras,0.0,0.0,0.0,698.0,1384.0,1360.0,1815.0,1405.0,2731.0,2093.0,2253.0,2936.0,3590.0,2622.0,3213.0,3779.0,3303.0,3895.0,3371.0,3398.0,2887.0
Nova Londrina,0.0,0.0,0.0,1561.0,1720.0,1883.0,2499.0,1610.0,2224.0,3459.0,2960.0,3606.0,4452.0,2649.0,4188.0,5094.0,5182.0,4488.0,3784.0,4690.0,4737.0
Nova Olímpia,0.0,0.0,0.0,546.0,705.0,517.0,844.0,633.0,732.0,2039.0,1335.0,2340.0,3549.0,2116.0,2165.0,2755.0,2855.0,3076.0,2697.0,4565.0,4967.0
Nova Prata do Iguaçu,0.0,0.0,0.0,2136.0,1852.0,1524.0,1178.0,796.0,2149.0,2321.0,2973.0,2574.0,3261.0,2774.0,2853.0,4183.0,4270.0,3764.0,2581.0,4011.0,4267.0
Nova Santa Bárbara,0.0,0.0,0.0,641.0,905.0,701.0,726.0,370.0,389.0,890.0,1354.0,1548.0,2442.0,2206.0,2271.0,1557.0,1598.0,2525.0,1348.0,2892.0,2965.0
Nova Santa Rosa,0.0,0.0,0.0,1036.0,1330.0,843.0,931.0,670.0,1410.0,1502.0,1174.0,814.0,2941.0,2138.0,1292.0,1744.0,2208.0,2673.0,2735.0,2909.0,3230.0
Nova Tebas,0.0,0.0,0.0,279.0,393.0,266.0,944.0,994.0,409.0,863.0,887.0,1127.0,1622.0,1221.0,1239.0,1773.0,1799.0,1573.0,1632.0,1719.0,1809.0
Novo Itacolomi,0.0,0.0,0.0,480.0,640.0,648.0,490.0,164.0,164.0,499.0,848.0,513.0,1199.0,346.0,347.0,699.0,889.0,539.0,1099.0,376.0,764.0
Ortigueira,0.0,0.0,0.0,5506.0,6639.0,5784.0,4926.0,5073.0,5258.0,6655.0,6871.0,8258.0,8606.0,7669.0,9274.0,9520.0,9750.0,10066.0,8786.0,9040.0,9395.0
Ourizona,0.0,0.0,0.0,324.0,419.0,338.0,357.0,0.0,209.0,469.0,368.0,137.0,1022.0,303.0,702.0,751.0,1193.0,1035.0,1075.0,1105.0,1340.0
Ouro Verde do Oeste,0.0,0.0,0.0,1161.0,1482.0,1221.0,951.0,1010.0,0.0,1571.0,2092.0,2178.0,3158.0,2283.0,1866.0,2413.0,2471.0,2629.0,3533.0,3867.0,3458.0
Paiçandu,0.0,0.0,0.0,7035.0,10920.0,11204.0,9632.0,9977.0,10561.0,13732.0,17317.0,15711.0,19635.0,14624.0,15047.0,21856.0,22489.0,22992.0,16732.0,20789.0,21677.0
Palmas,0.0,0.0,0.0,11070.0,13208.0,13380.0,9630.0,9864.0,12392.0,13689.0,15534.0,17039.0,21897.0,16516.0,24262.0,25313.0,22499.0,27661.0,25018.0,31901.0,34961.0
Palmeira,0.0,0.0,0.0,2626.0,4835.0,4366.0,3825.0,3484.0,4045.0,6922.0,6652.0,9028.0,11691.0,8969.0,11273.0,13657.0,14298.0,15070.0,13657.0,12091.0,15694.0
Palmital,0.0,0.0,0.0,1437.0,1563.0,1229.0,2269.0,1898.0,524.0,3548.0,3928.0,4216.0,5237.0,3130.0,4755.0,5749.0,4973.0,5004.0,5034.0,5234.0,5608.0
Palotina,0.0,0.0,0.0,9430.0,14571.0,12502.0,12836.0,5334.0,16569.0,17509.0,15404.0,19462.0,20241.0,20871.0,21194.0,25165.0,25823.0,26553.0,23238.0,23669.0,24272.0
Paranacity,0.0,0.0,0.0,564.0,793.0,538.0,1019.0,891.0,487.0,1314.0,1874.0,2163.0,3094.0,1885.0,1976.0,3588.0,2599.0,2641.0,2717.0,2809.0,3530.0
Paranaguá,0.0,0.0,0.0,71779.0,74702.0,66442.0,81435.0,59708.0,85573.0,74902.0,77661.0,95044.0,99690.0,88659.0,106514.0,111143.0,115474.0,120606.0,107945.0,111263.0,133249.0
Paranapoema,0.0,0.0,0.0,178.0,372.0,280.0,289.0,99.0,0.0,263.0,428.0,351.0,894.0,360.0,360.0,724.0,728.0,552.0,201.0,810.0,824.0
Paranavaí,0.0,0.0,0.0,16970.0,18771.0,20608.0,21688.0,19026.0,29207.0,27121.0,29281.0,30403.0,36721.0,32332.0,38827.0,40144.0,41891.0,43888.0,39112.0,47845.0,51099.0
Paraíso do Norte,0.0,0.0,0.0,2363.0,3127.0,2366.0,3405.0,2930.0,3371.0,3675.0,5029.0,5331.0,7957.0,4714.0,6172.0,8968.0,7879.0,5370.0,8296.0,7282.0,9416.0
Pato Bragado,0.0,0.0,0.0,550.0,574.0,200.0,844.0,0.0,0.0,1320.0,1423.0,1548.0,2251.0,1615.0,326.0,990.0,2017.0,1021.0,2099.0,1863.0,2401.0
Pato Branco,0.0,0.0,0.0,16343.0,20705.0,18180.0,23433.0,16500.0,31657.0,34661.0,37630.0,39540.0,41150.0,36481.0,44281.0,45773.0,46926.0,49372.0,43983.0,54281.0,57423.0
Paula Freitas,0.0,0.0,0.0,418.0,447.0,377.0,402.0,135.0,0.0,622.0,509.0,963.0,1537.0,912.0,1177.0,1508.0,1319.0,1703.0,1192.0,2031.0,2345.0
Paulo Frontin,0.0,0.0,0.0,168.0,291.0,180.0,240.0,120.0,86.0,473.0,502.0,684.0,1118.0,867.0,875.0,1074.0,1096.0,952.0,1200.0,1076.0,1255.0
Peabiru,0.0,0.0,0.0,2511.0,2699.0,2477.0,2676.0,2721.0,0.0,4461.0,3099.0,3967.0,5687.0,4153.0,5048.0,4260.0,6032.0,6127.0,4470.0,4663.0,5922.0
Perobal,0.0,0.0,0.0,880.0,1151.0,986.0,789.0,1102.0,291.0,1658.0,2135.0,1495.0,2695.0,1168.0,1604.0,2508.0,2156.0,2246.0,2325.0,2911.0,3112.0
